Title,Year,Architects,Product,Category,Image
Openhouse / XTEN Architecture,2008,XTEN Architecture,Concrete,Houses,https://images.adsttc.com/media/images/5010/2ae7/28ba/0d42/2200/0f40/newsletter/stringio.jpg?1414338431
House in Matinhal / ARX Portugal,2009,ARX PORTUGAL - Jos?© Mateus e Nuno Mateus,Concrete,Houses,https://images.adsttc.com/media/images/500d/83e5/28ba/0d66/2500/0297/newsletter/stringio.jpg?1414039790
Shell / ARTechnic architects,2009,Kotaro Ide / AR,Concrete,Houses,https://images.adsttc.com/media/images/500d/84d0/28ba/0d66/2500/02ec/newsletter/stringio.jpg?1414085564
Children's toy Library / LAN Architecture,2009,LAN Architecture,Concrete,Others,https://images.adsttc.com/media/images/500f/1d5a/28ba/0d0c/c700/1bb3/medium_jpg/stringio.jpg?1414331594
Peace Peres House / Massimiliano & Doriana Fuksas,2009,Massimiliano & Doriana Fuksas,Concrete,Houses,https://images.adsttc.com/media/images/500f/3af5/28ba/0d0c/c700/2213/newsletter/stringio.jpg?1414333340
Habita Hotel / TEN Arquitectos,2009,"TEN Arquitectos - Enrique Norten, Bernardo G??mez-Pimienta",Concrete,Others,https://images.adsttc.com/media/images/500f/0717/28ba/0d0c/c700/13a4/newsletter/stringio.jpg?1361420436
BF House / Humberto Hermeto,2009,Humberto Hermeto,Concrete,Houses,https://images.adsttc.com/media/images/500d/c68a/28ba/0d66/2500/1337/newsletter/stringio.jpg?1423682954
D Jewelry / Vaillo + Irigaray,2009,Vaillo + Irigaray / Antonio Vaillo + Juan Luis Irigaray,Concrete,Others,https://images.adsttc.com/media/images/500d/ef7c/28ba/0d66/2500/1c07/medium_jpg/stringio.jpg?1414065495
Casa Viguet / NdC Arquitectura,2009,Nd,Concrete,Houses,https://images.adsttc.com/media/images/500d/dbb5/28ba/0d66/2500/17d4/newsletter/stringio.jpg?1414094096
Tama Art University  / Toyo Ito & Associates,2009,Toyo Ito & Associates,Concrete,Others,https://images.adsttc.com/media/images/500e/024d/28ba/0d66/2500/1ffe/newsletter/stringio.jpg?1414396052
Za Koenji Public Theatre / Toyo Ito & Associates,2009,Toyo Ito & Associates,Concrete,Others,https://images.adsttc.com/media/images/5010/4a00/28ba/0d42/2200/1689/newsletter/stringio.jpg?1361413885
Erika Mann Elementary School / Die Baupiloten,2009,Die Baupiloten,Concrete,Others,https://images.adsttc.com/media/images/5010/5de7/28ba/0d42/2200/1aea/newsletter/stringio.jpg?1414341752
Casa Sacerdotal Diocesana de Plasencia / Andres Jaque Architects,2009,Andres Jaque Architects,Concrete,Renovation,https://images.adsttc.com/media/images/5010/73aa/28ba/0d42/2200/1ff9/newsletter/stringio.jpg?1414470937
D-minution House / SUB. Studio for visionary design,2009,SUB. Studio for visionary design,Concrete,Houses,https://images.adsttc.com/media/images/5010/7e1d/28ba/0d42/2200/226f/newsletter/stringio.jpg?1423683381
